match_id,summoner_name,role,champion,game_length_mins,kda,dmg_to_champions_per_min,team_damage_share,team_gold_share,gold_diff_15,exp_diff_15,kill_participation,objective_damage_per_min,team_objective_damage_share,vision_score_per_min,team_vision_score_share,gold_diff_per_min,exp_diff_per_min,damage_taken_per_min,damage_taken_share,healing_shielding_allies_per_min,win_loss
NA1_5328087702,,1,Ornn,34.0,2.71,667.1,13.0,17.9,-1151,-923,41.30434782608695,374.7,10.9,0.62,12.8,-116.8,56.3,1067.1,18.4,0.0,1
NA1_5328087702,,2,Khazix,34.0,4.6,1221.0,23.8,21.8,64,-184,50.0,2095.7,61.0,0.71,14.6,165.0,221.3,1576.3,27.1,0.0,1
NA1_5328087702,,3,Chogath,34.0,2.12,993.0,19.4,18.3,741,80,36.95652173913043,223.0,6.5,0.65,13.4,41.3,50.1,1564.8,26.9,0.0,1
NA1_5328087702,,4,Jhin,34.0,5.5,1757.0,34.3,27.8,-1293,519,71.73913043478261,626.1,18.2,0.59,12.2,134.7,203.4,705.5,12.1,0.0,1
NA1_5328087702,,5,Thresh,34.0,5.0,489.1,9.5,14.2,-216,-758,65.21739130434783,118.9,3.5,2.26,47.0,68.8,113.7,896.1,15.4,132.6,1
NA1_5328087702,,1,Aatrox,34.0,1.75,1252.1,29.1,26.7,1151,923,43.75,197.4,17.3,0.56,12.5,116.8,-56.3,1854.8,29.7,0.0,0
NA1_5328087702,,2,Kayn,34.0,0.71,703.7,16.4,16.5,-64,184,31.25,695.9,61.1,0.76,17.1,-165.0,-221.3,1645.2,26.3,0.0,0
NA1_5328087702,,3,Vladimir,34.0,1.88,925.9,21.6,19.0,-741,-80,46.875,130.9,11.5,0.59,13.2,-41.3,-50.1,1277.2,20.4,0.0,0
NA1_5328087702,,4,Varus,34.0,1.7,1087.9,25.3,25.0,1293,-519,53.125,103.5,9.1,1.26,28.3,-134.7,-203.4,975.1,15.6,0.0,0
NA1_5328087702,,5,Yuumi,34.0,3.0,326.1,7.6,12.8,216,758,56.25,12.0,1.0,1.29,28.9,-68.8,-113.7,494.8,7.9,469.2,0
NA1_5327760079,,1,Mordekaiser,27.4,3.17,1640.0,37.8,22.7,2082,1904,40.42553191489361,407.1,8.9,0.51,11.5,231.5,236.3,1593.7,28.2,0.0,1
NA1_5327760079,,2,Warwick,27.4,10.5,689.3,15.9,22.3,567,1375,44.680851063829785,1767.0,38.4,0.77,17.2,64.3,132.4,1364.4,24.1,0.0,1
NA1_5327760079,,3,Jayce,27.4,3.33,589.1,13.6,17.8,-1883,-468,21.27659574468085,737.7,16.0,0.51,11.5,-50.7,90.1,776.8,13.7,0.0,1
NA1_5327760079,,4,Kalista,27.4,2.4,1077.3,24.9,23.9,1631,-200,51.06382978723404,1585.4,34.5,0.55,12.3,158.1,80.1,1053.0,18.6,0.0,1
NA1_5327760079,,5,Braum,27.4,2.88,337.6,7.8,13.2,-707,-90,48.93617021276596,102.1,2.2,2.12,47.5,-12.1,80.9,862.0,15.3,67.7,1
NA1_5327760079,,1,Malphite,27.4,0.91,740.9,18.2,15.8,-2082,-1904,34.48275862068966,14.2,2.3,0.58,24.2,-231.5,-236.3,988.2,18.8,0.0,0
NA1_5327760079,,2,Hecarim,27.4,1.73,964.7,23.7,23.5,-567,-1375,65.51724137931035,198.9,31.7,0.15,6.1,-64.3,-132.4,1786.6,33.9,0.0,0
NA1_5327760079,,3,TwistedFate,27.4,2.67,821.0,20.2,23.7,1883,468,55.172413793103445,267.7,42.6,0.47,19.7,50.7,-90.1,845.3,16.1,0.0,0
