match_id,summoner_name,role,champion,game_length_mins,kda,dmg_to_champions_per_min,team_damage_share,team_gold_share,gold_diff_15,exp_diff_15,kill_participation,objective_damage_per_min,team_objective_damage_share,vision_score_per_min,team_vision_score_share,gold_diff_per_min,exp_diff_per_min,damage_taken_per_min,damage_taken_share,healing_shielding_allies_per_min,win_loss
NA1_5328113855,,1,Irelia,31.1,0.88,1005.1,22.4,18.3,-515,-701,33.33333333333333,323.3,21.9,0.8,17.2,-48.9,-110.1,1068.5,21.3,0.0,0
NA1_5328113855,,2,Vi,31.1,1.14,462.1,10.3,17.8,-1193,-140,38.095238095238095,561.3,38.0,0.77,16.6,-81.6,-62.7,1111.5,22.1,0.0,0
NA1_5328113855,,3,Ryze,31.1,1.7,1941.9,43.3,28.0,32,-1308,80.95238095238095,247.0,16.7,0.83,17.9,57.4,-45.2,1316.4,26.2,0.0,0
NA1_5328113855,,4,Lucian,31.1,1.4,790.8,17.6,21.3,-1269,373,66.66666666666666,273.0,18.5,0.45,9.7,-154.7,-12.2,916.2,18.2,0.0,0
NA1_5328113855,,5,Milio,31.1,2.4,282.6,6.3,14.6,-214,-1051,57.14285714285714,72.6,4.9,1.8,38.6,-65.2,-77.0,611.4,12.2,614.3,0
NA1_5328113855,,1,DrMundo,31.1,7.67,868.9,21.6,18.1,515,701,57.49999999999999,447.4,15.2,0.58,14.6,48.9,110.1,2369.6,40.1,0.0,1
NA1_5328113855,,2,Nocturne,31.1,2.86,585.8,14.5,19.2,1193,140,50.0,1410.2,48.0,0.51,13.0,81.6,62.7,1426.3,24.1,0.0,1
NA1_5328113855,,3,Fizz,31.1,6.0,945.7,23.5,21.4,-32,1308,45.0,214.3,7.3,0.67,17.1,-57.4,45.2,696.0,11.8,0.0,1
NA1_5328113855,,4,Jhin,31.1,6.25,1149.8,28.5,25.6,1269,-373,62.5,662.5,22.6,0.83,21.1,154.7,12.2,676.7,11.4,0.0,1
NA1_5328113855,,5,Senna,31.1,5.5,477.3,11.9,15.7,214,1051,55.00000000000001,201.8,6.9,1.35,34.1,65.2,77.0,744.2,12.6,216.3,1
NA1_5327962038,,1,Shen,28.4,2.4,422.4,9.0,17.8,-948,-1176,33.33333333333333,357.9,10.4,0.7,16.4,41.6,87.3,869.6,23.8,70.8,1
NA1_5327962038,,2,Elise,28.4,3.75,772.0,16.4,18.2,-1457,-1290,41.66666666666667,878.5,25.4,0.81,18.9,24.5,57.4,938.7,25.7,0.0,1
NA1_5327962038,,3,Lux,28.4,4.33,1224.2,25.9,20.2,1913,383,36.11111111111111,584.0,16.9,0.74,17.2,44.6,19.0,422.0,11.5,125.2,1
NA1_5327962038,,4,Yunara,28.4,4.33,1978.8,41.9,27.7,1026,626,72.22222222222221,1343.6,38.9,0.46,10.7,253.2,157.4,889.1,24.3,0.0,1
NA1_5327962038,,5,Lulu,28.4,4.0,321.4,6.8,16.0,-618,-59,66.66666666666666,290.3,8.4,1.58,36.9,0.0,158.9,536.7,14.7,216.3,1
NA1_5327962038,,1,Darius,28.4,0.86,392.8,15.9,19.1,948,1176,25.0,218.6,28.8,0.6,12.7,-41.6,-87.3,1015.7,18.7,0.0,0
NA1_5327962038,,2,Sejuani,28.4,1.75,500.5,20.3,20.6,1457,1290,58.333333333333336,94.5,12.4,0.42,9.0,-24.5,-57.4,1759.3,32.5,5.7,0
NA1_5327962038,,3,AurelionSol,28.4,1.2,557.9,22.6,21.8,-1913,-383,25.0,328.5,43.2,0.95,20.1,-44.6,-19.0,1028.1,19.0,0.0,0
NA1_5327962038,,4,Lucian,28.4,1.4,656.7,26.6,19.3,-1026,-626,58.333333333333336,70.0,9.2,0.67,14.2,-253.2,-157.4,920.1,17.0,0.0,0
NA1_5327962038,,5,Neeko,28.4,2.0,357.6,14.5,19.2,618,59,50.0,48.4,6.4,2.08,44.0,0.0,-158.9,697.4,12.9,0.0,0
NA1_5327858937,,1,Irelia,30.4,0.75,565.1,17.6,22.0,32,-1309,35.294117647058826,151.6,23.4,0.46,11.6,-154.7,-222.2,1018.9,24.1,0.0,0
NA1_5327858937,,2,Amumu,30.4,1.22,564.0,17.6,22.4,-1359,69,64.70588235294117,252.5,39.0,0.46,11.6,-79.5,-136.0,1182.6,28.0,0.0,0
NA1_5327858937,,3,Viktor,30.4,0.33,884.9,27.6,19.0,-1453,-2514,23.52941176470588,108.1,16.7,0.59,14.9,-70.9,-169.6,847.3,20.0,0.0,0
NA1_5327858937,,4,Caitlyn,30.4,1.14,725.9,22.7,19.8,-1266,-1057,47.05882352941176,75.9,11.7,0.49,12.4,-147.2,-144.7,632.0,15.0,0.0,0
NA1_5327858937,,5,Lux,30.4,1.33,462.6,14.4,16.8,-444,-42,70.58823529411765,59.7,9.2,1.97,49.6,-72.2,-89.1,545.5,12.9,42.4,0
NA1_5327858937,,1,Garen,30.4,14.0,703.1,19.7,23.7,-32,1309,31.11111111111111,1219.8,32.7,0.43,9.4,154.7,222.2,871.0,18.1,0.0,1
NA1_5327858937,,2,Warwick,30.4,7.0,704.5,19.7,20.7,1359,-69,46.666666666666664,1611.7,43.2,1.08,23.7,79.5,136.0,1187.8,24.7,0.0,1
NA1_5327858937,,3,Galio,30.4,4.0,666.5,18.6,17.7,1453,2514,44.44444444444444,199.2,5.3,0.43,9.4,70.9,169.6,1138.8,23.7,47.6,1
NA1_5327858937,,4,Varus,30.4,2.8,827.3,23.1,21.7,1266,1057,31.11111111111111,461.1,12.4,0.46,10.1,147.2,144.7,745.5,15.5,0.0,1
NA1_5327858937,,5,Gragas,30.4,7.0,676.4,18.9,16.1,444,42,46.666666666666664,242.1,6.5,2.17,47.5,72.2,89.1,866.5,18.0,0.0,1
NA1_5327839924,,1,DrMundo,29.4,0.5,436.3,13.0,16.5,-3698,-2553,18.51851851851852,155.4,18.5,0.31,4.9,-275.7,-216.8,2049.5,36.3,0.0,0
NA1_5327839924,,2,JarvanIV,29.4,1.67,614.5,18.3,23.5,1789,1043,55.55555555555556,296.1,35.3,1.12,17.9,34.5,35.0,1187.3,21.0,0.0,0
NA1_5327839924,,3,Ahri,29.4,1.75,1050.2,31.3,19.8,-1602,-787,51.85185185185185,33.7,4.0,1.22,19.6,-154.7,-202.9,987.9,17.5,0.0,0
NA1_5327839924,,4,Caitlyn,29.4,2.71,1104.9,32.9,26.5,2057,1287,70.37037037037037,322.3,38.4,0.65,10.3,129.3,60.0,750.7,13.3,0.0,0
NA1_5327839924,,5,Janna,29.4,2.17,147.4,4.4,13.6,-375,-288,48.148148148148145,30.8,3.7,2.96,47.3,-86.7,-153.1,675.6,12.0,257.6,0
NA1_5327839924,,1,Akshan,29.4,3.6,2219.4,45.1,26.4,3698,2553,45.0,343.9,10.2,0.58,10.7,275.7,216.8,1098.7,23.9,0.0,1
NA1_5327839924,,2,Jax,29.4,3.8,628.1,12.8,18.2,-1789,-1043,47.5,1613.7,47.7,1.39,25.8,-34.5,-35.0,1386.7,30.1,0.0,1
NA1_5327839924,,3,Viktor,29.4,7.0,1037.4,21.1,23.7,1602,787,52.5,534.6,15.8,0.95,17.6,154.7,202.9,682.6,14.8,0.0,1
NA1_5327839924,,4,Varus,29.4,1.44,645.5,13.1,16.4,-2057,-1287,32.5,384.7,11.4,0.31,5.7,-129.3,-60.0,727.7,15.8,0.0,1
NA1_5327839924,,5,Senna,29.4,3.6,393.4,8.0,15.4,375,288,45.0,503.8,14.9,2.18,40.3,86.7,153.1,709.4,15.4,333.0,1
NA1_5327815405,,1,Ryze,41.9,2.0,881.0,23.0,21.6,-324,-222,37.2093023255814,1142.9,29.1,0.76,13.3,69.6,76.4,1064.1,19.9,0.0,1
NA1_5327815405,,2,Nocturne,41.9,4.17,776.8,20.3,22.0,-1135,162,58.139534883720934,1094.2,27.9,0.95,16.7,-83.8,65.0,1631.0,30.5,0.0,1
NA1_5327815405,,3,Qiyana,41.9,1.27,602.3,15.7,18.5,-2650,-2046,32.55813953488372,452.0,11.5,1.12,19.6,32.2,98.9,915.9,17.1,0.0,1
NA1_5327815405,,4,Jhin,41.9,3.11,1106.7,28.9,22.5,399,656,65.11627906976744,915.2,23.3,0.76,13.3,115.3,106.5,890.5,16.7,0.0,1
NA1_5327815405,,5,Nautilus,41.9,3.0,467.0,12.2,15.3,-216,-51,62.7906976744186,319.1,8.1,2.12,37.1,59.2,80.3,846.1,15.8,0.0,1
NA1_5327815405,,1,Morgana,41.9,2.0,1031.6,26.2,20.2,324,222,37.2093023255814,109.7,8.0,0.76,13.9,-69.6,-76.4,1140.2,25.1,12.6,0
NA1_5327815405,,2,Shaco,41.9,3.25,958.3,24.3,28.6,1135,-162,60.46511627906976,789.2,57.3,1.5,27.3,83.8,-65.0,1039.7,22.9,0.0,0
NA1_5327815405,,3,Ziggs,41.9,2.0,1095.0,27.8,18.7,2650,2046,37.2093023255814,322.2,23.4,0.29,5.2,-32.2,-98.9,685.6,15.1,0.0,0
NA1_5327815405,,4,Yunara,41.9,1.1,631.9,16.0,18.8,-399,-656,25.581395348837212,106.5,7.7,0.81,14.7,-115.3,-106.5,783.8,17.2,0.0,0
NA1_5327815405,,5,Milio,41.9,2.22,226.9,5.8,13.7,216,51,46.51162790697674,50.7,3.7,2.15,39.0,-59.2,-80.3,898.2,19.8,735.1,0
NA1_5327798897,,1,Akali,47.5,2.5,829.3,20.3,16.9,101,-217,47.16981132075472,23.1,0.8,0.72,13.7,-101.8,-99.6,1290.4,22.8,0.0,1
NA1_5327798897,,2,Belveth,47.5,10.0,1339.5,32.7,28.7,202,-29,75.47169811320755,1959.7,70.8,1.05,20.1,184.5,154.1,1884.0,33.3,0.0,1
NA1_5327798897,,3,Veigar,47.5,4.17,1123.2,27.4,24.7,-292,-433,47.16981132075472,495.0,17.9,0.8,15.3,68.4,29.5,649.3,11.5,0.0,1
NA1_5327798897,,4,Yunara,47.5,1.54,565.1,13.8,17.0,-97,530,37.735849056603776,277.5,10.0,0.53,10.0,22.0,28.0,930.2,16.4,0.0,1
NA1_5327798897,,5,Janna,47.5,3.0,235.2,5.7,12.7,-288,488,56.60377358490566,12.9,0.5,2.15,41.0,-22.9,17.9,901.7,15.9,774.1,1
