kda,dmg_to_champions,gold_diff_15,exp_diff_15,kill_participation,objective_damage,vision_score,gold_diff_end,exp_diff_end,role,win_loss
4,16807,-122,1124,34.8,2803,11,729,2365,1,1
3.5,4949,-121,107,30.4,24911,21,-782,579,2,1
1,13400,793,1635,26.1,6318,4,1132,1988,3,1
5.5,19098,3383,2032,47.8,11991,10,4589,2350,4,1
3.33,3311,-376,365,43.5,939,23,341,516,5,1
2,8806,122,-1124,53.3,2453,10,-729,-2365,1,0
2.5,11801,121,-107,66.7,4897,16,782,-579,2,0
1,9834,-793,-1635,33.3,8088,14,-1132,-1988,3,0
0.4,4333,-3383,-2032,13.3,798,9,-4589,-2350,4,0
0.8,8811,376,-365,26.7,503,29,-341,-516,5,0
2,15278,-946,677,42.9,2895,19,-285,329,1,0
1.89,19849,746,-185,60.7,23298,11,-181,-1864,2,0
2,17564,-135,-716,50,5156,14,-2722,-4094,3,0
1.78,16174,-1584,-2034,57.1,6567,17,-3578,-3211,4,0
2.83,9260,-697,-120,60.7,1863,54,-298,-1406,5,0
1.08,18913,946,-677,35.1,7031,12,285,-329,1,1
3.67,18182,-746,185,29.7,45548,23,181,1864,2,1
5,22087,135,716,40.5,18076,13,2722,4094,3,1
8,28626,1584,2034,64.9,25724,11,3578,3211,4,1
2.86,11732,697,120,54.1,4404,38,298,1406,5,1
2.88,53345,3058,2474,76.7,38079,17,8118,6588,1,1
1.4,18918,-7,-883,23.3,30798,28,401,-69,2,1
3.33,29851,72,-1748,33.3,12133,17,3537,-917,3,1
0.64,25621,-1643,-496,23.3,10869,24,-5721,-1463,4,1
3.2,9494,-300,-902,53.3,4256,114,412,-799,5,1
0.92,19811,-3058,-2474,34.4,7966,15,-8118,-6588,1,0
3.75,17064,7,883,46.9,17124,35,-401,69,2,0
2.8,22906,-72,1748,43.8,2332,20,-3537,917,3,0
4.6,36579,1643,496,71.9,20551,10,5721,1463,4,0
5.75,19998,300,902,71.9,3207,97,-412,799,5,0
0.89,13096,-474,-1287,40,5661,21,-3926,-7246,1,0
1.86,20127,2459,187,65,11649,16,37,-2409,2,0
1.5,21212,-1430,-2473,45,2639,12,-1272,-2241,3,0
1.17,14634,703,-92,35,4800,27,-1795,-2337,4,0
1,8793,315,-22,45,2826,72,-2091,-3727,5,0
2.2,28665,474,1287,29.7,15968,17,3926,7246,1,1
1.83,15953,-2459,-187,29.7,58452,18,-37,2409,2,1
6.67,31129,1430,2473,54.1,10215,14,1272,2241,3,1
6.33,26538,-703,92,51.4,16836,23,1795,2337,4,1
8.33,7071,-315,22,67.6,8625,58,2091,3727,5,1
2.17,31815,405,516,30.2,13858,36,577,445,1,0
3.14,20924,820,641,51.2,23633,55,234,4433,2,0
1.82,28198,-448,-1275,46.5,8627,16,-2009,-1631,3,0
2.44,39915,-1062,-362,51.2,20960,27,-2396,2488,4,0
2.89,24727,809,328,60.5,2422,139,5537,1463,5,0
2.86,35068,-405,-516,47.6,14400,18,-577,-445,1,1
1.44,24110,-820,-641,31,42161,34,-234,-4433,2,1
3.17,50163,448,1275,45.2,15702,19,2009,1631,3,1
2.8,66222,1062,362,66.7,20582,35,2396,-2488,4,1
2.36,52234,-809,-328,61.9,10442,77,-5537,-1463,5,1
1.56,21146,-418,-539,35,2573,24,-5726,-2895,1,0
4.2,25901,2996,1822,52.5,40245,35,5779,3397,2,0
1.4,20331,-6,1595,17.5,4282,20,-2853,186,3,0
2.67,37401,2649,511,60,32426,17,2487,-153,4,0
1.78,18395,-374,563,40,5964,111,-3201,-749,5,0
2.12,40598,418,539,45.9,6564,18,5726,2895,1,1
1.08,11581,-2996,-1822,35.1,35453,30,-5779,-3397,2,1
7,37045,6,-1595,75.7,14328,22,2853,-186,3,1
1.82,23737,-2649,-511,54.1,17133,19,-2487,153,4,1
4.6,20573,374,-563,62.2,2153,110,3201,749,5,1
11,11201,938,753,45.8,8318,19,1918,3420,1,1
16,16216,-188,353,66.7,71830,22,4108,6984,2,1
12,23987,-86,-711,50,20607,6,5138,5441,3,1
4.5,13010,308,577,37.5,16684,19,1509,1119,4,1
7.5,12196,158,-79,62.5,5843,80,3167,1512,5,1
0,8203,-938,-753,0,0,15,-1918,-3420,1,0
0.67,10506,188,-353,100,4447,26,-4108,-6984,2,0
0.25,10123,86,711,25,2107,20,-5138,-5441,3,0
0.75,8908,-308,-577,75,1696,12,-1509,-1119,4,0
1,3222,-158,79,75,973,36,-3167,-1512,5,0
0.75,16599,-679,-595,16.7,15235,21,-127,101,1,0
1.4,17357,49,284,19.4,39359,22,-5539,-4121,2,0
2,26041,278,-53,27.8,7771,40,-2637,-715,3,0
4,40883,1942,1348,66.7,17467,12,77,31,4,0
2.25,19455,1448,675,50,2578,80,229,-158,5,0
5.5,19277,679,595,34.4,8450,18,127,-101,1,1
5.67,27941,-49,-284,53.1,29205,46,5539,4121,2,1
1.38,23535,-278,53,34.4,12373,33,2637,715,3,1
1.1,20252,-1942,-1348,34.4,14264,22,-77,-31,4,1
0.85,16827,-1448,-675,34.4,1659,57,-229,158,5,1
1.33,29431,-1896,-1144,57.1,752,18,-2333,-2380,1,0
1.78,14725,-1094,-1414,57.1,23582,52,-5978,-4969,2,0
1.43,19569,-325,505,35.7,4799,20,127,-122,3,0
2.8,31916,582,1084,50,7921,31,138,1257,4,0
1.09,21309,199,76,42.9,6261,67,-47,-2181,5,0
5,36164,1896,1144,45.5,18534,19,2333,2380,1,1
6.6,49681,1094,1414,75,36197,36,5978,4969,2,1
4,27164,325,-505,45.5,3297,21,-127,122,3,1
2.62,27072,-582,-1084,47.7,19023,19,-138,-1257,4,1
4.5,7135,-199,-76,61.4,2686,70,47,2181,5,1
